Timestamp,Age,Primary streaming service,Hours per day,Fav genre,BPM,Anxiety,Depression,Insomnia,OCD,Music effects
8/28/2022 19:22:30,19.0,YouTube Music,5.0,Metal,136.0,0.0,5.0,1.0,0.0,No effect
8/28/2022 19:26:23,20.0,Apple Music,2.0,Pop,141.0,6.0,3.0,0.0,0.0,Improve
8/28/2022 19:27:46,28.0,Spotify,2.0,Metal,146.0,1.0,7.0,5.0,1.0,Improve
8/28/2022 19:29:08,16.0,I do not use a streaming service.,2.0,Video game music,,4.0,2.0,1.0,1.0,No effect
8/28/2022 19:29:25,18.0,Spotify,2.0,R&B,164.0,5.0,6.0,0.0,1.0,No effect
8/28/2022 19:30:42,34.0,Spotify,1.0,Rock,,1.0,0.0,0.0,0.0,No effect
8/28/2022 19:30:49,18.0,YouTube Music,1.5,Pop,,8.0,6.0,5.0,2.0,Improve
8/28/2022 19:35:58,21.0,Spotify,5.0,Folk,128.0,9.0,4.0,0.0,3.0,Improve
8/28/2022 19:40:03,38.0,Spotify,0.5,Rock,,4.0,6.0,6.0,4.0,Improve
8/28/2022 19:46:02,17.0,Spotify,2.0,Rock,,7.0,3.0,1.0,5.0,Improve
8/28/2022 19:46:57,35.0,Other streaming service,0.5,Pop,,10.0,3.0,1.0,0.0,No effect
8/28/2022 19:50:30,21.0,I do not use a streaming service.,2.0,Rock,101.0,8.0,8.0,3.0,0.0,Improve
8/28/2022 19:56:46,25.0,Apple Music,2.5,R&B,,7.0,6.0,5.0,4.0,Improve
8/28/2022 19:59:01,18.0,Spotify,2.0,K pop,98.0,7.0,2.0,3.0,5.0,Improve
8/28/2022 20:01:29,16.0,Apple Music,2.0,Pop,145.0,10.0,3.5,5.0,10.0,Improve
8/28/2022 20:04:49,19.0,Spotify,1.0,Pop,94.0,7.0,5.0,1.0,2.0,Improve
8/28/2022 20:12:05,31.0,Spotify,4.0,Classical,103.0,6.0,8.0,9.0,5.0,Improve
8/28/2022 20:14:02,26.0,Spotify,5.0,Rock,,2.0,9.0,2.0,1.0,No effect
8/28/2022 20:14:47,16.0,Spotify,2.0,Rock,112.0,7.0,4.0,10.0,2.0,Improve
8/28/2022 20:15:28,26.0,Spotify,2.0,Rock,,7.0,5.0,6.0,0.0,Improve
8/28/2022 20:20:20,17.0,Spotify,2.0,R&B,118.0,6.0,1.0,0.0,0.0,Improve
8/28/2022 20:20:52,22.0,Spotify,1.0,Video game music,,3.0,6.0,1.0,1.0,Improve
8/28/2022 20:32:41,20.0,Apple Music,4.0,R&B,113.0,9.0,10.0,3.0,0.0,Improve
8/28/2022 20:33:43,30.0,Spotify,1.0,Rock,162.0,8.0,5.0,8.0,9.0,Improve
8/28/2022 20:37:41,26.0,Other streaming service,4.0,Pop,,8.0,7.0,7.0,3.0,Improve
8/28/2022 20:43:43,19.0,Spotify,5.0,Rock,111.0,9.0,9.0,9.0,3.0,No effect
8/28/2022 20:50:37,21.0,,5.0,Country,85.0,9.0,8.0,9.0,7.0,Improve
8/28/2022 20:57:16,33.0,Spotify,7.0,Rock,134.0,9.0,3.0,7.0,8.0,Improve
8/28/2022 20:57:57,28.0,YouTube Music,2.0,Rock,172.0,10.0,8.0,6.0,2.0,Improve
8/28/2022 21:01:18,25.0,Spotify,3.0,Rock,180.0,9.0,6.0,3.0,0.0,Improve
8/28/2022 21:03:23,22.0,YouTube Music,2.0,Pop,120.0,7.0,7.0,8.0,3.0,Improve
8/28/2022 21:06:09,19.0,Spotify,3.0,Rock,76.0,9.0,10.0,4.0,0.0,Improve
8/28/2022 21:11:09,44.0,Other streaming service,3.0,Folk,130.0,9.0,9.0,8.0,2.0,Improve
8/28/2022 21:14:34,22.0,Spotify,3.0,Rock,,9.0,10.0,3.0,9.0,Improve
8/28/2022 21:14:51,26.0,Spotify,5.0,Metal,109.0,10.0,9.0,8.0,8.0,Improve
8/28/2022 21:23:07,23.0,I do not use a streaming service.,6.0,Classical,96.0,6.0,5.0,6.0,8.0,Improve
8/28/2022 21:24:10,17.0,Spotify,2.0,R&B,148.0,8.0,6.0,10.0,3.0,Improve
8/28/2022 21:26:19,42.0,YouTube Music,2.0,Metal,,8.0,3.0,6.0,4.0,Improve
8/28/2022 21:28:30,30.0,Spotify,1.0,Rock,129.0,4.0,2.0,1.0,3.0,Improve
8/28/2022 21:30:33,35.0,Spotify,1.0,Pop,81.0,2.0,1.0,1.0,1.0,No effect
8/28/2022 21:30:41,20.0,Spotify,3.0,Rock,136.0,10.0,10.0,7.0,3.0,Improve
8/28/2022 21:31:40,18.0,Spotify,3.0,Rap,155.0,8.0,9.0,0.0,0.0,Improve
8/28/2022 21:47:26,21.0,Spotify,1.0,Pop,,4.0,9.0,6.0,2.0,No effect
8/28/2022 21:48:12,19.0,Spotify,6.0,Rock,52.0,4.0,2.0,0.0,0.0,Improve
8/28/2022 21:48:29,37.0,Spotify,4.0,Rock,97.0,9.0,2.0,7.0,7.0,Improve
8/28/2022 21:52:44,31.0,Spotify,2.0,Metal,92.0,8.0,6.0,7.0,5.0,Improve
8/28/2022 21:54:05,29.0,Spotify,2.0,Folk,100.0,6.0,5.0,4.0,2.0,Improve
8/28/2022 21:55:05,20.0,Spotify,3.0,Rock,120.0,8.0,5.0,2.0,3.0,Improve
8/28/2022 21:55:22,36.0,I do not use a streaming service.,8.0,Video game music,143.0,7.0,6.0,6.0,1.0,No effect
8/28/2022 22:03:40,18.0,Spotify,3.0,Rock,118.0,10.0,2.0,0.0,0.0,Improve
8/28/2022 22:04:16,18.0,Spotify,2.0,K pop,130.0,6.0,0.0,0.0,0.0,Improve
8/28/2022 22:05:53,25.0,Spotify,7.0,Pop,120.0,2.0,0.0,1.0,0.0,Improve
8/28/2022 22:06:46,18.0,YouTube Music,12.0,K pop,126.0,3.0,7.0,5.0,2.0,Improve
8/28/2022 22:09:11,31.0,YouTube Music,9.0,Pop,158.0,9.0,0.0,2.0,0.0,Improve
8/28/2022 22:10:24,17.0,Spotify,2.0,Pop,160.0,5.0,4.0,1.0,1.0,Improve
8/28/2022 22:11:31,21.0,Spotify,1.0,Folk,,8.0,4.0,0.0,1.0,Improve
8/28/2022 22:13:00,30.0,Other streaming service,1.0,Country,119.0,8.0,10.0,2.0,0.0,Improve
8/28/2022 22:14:01,40.0,Apple Music,2.0,Metal,120.0,3.0,6.0,2.0,1.0,No effect
8/28/2022 22:14:30,64.0,I do not use a streaming service.,4.0,Rock,200.0,4.0,4.0,2.0,1.0,Improve
8/28/2022 22:21:12,14.0,Spotify,2.0,Rock,136.0,7.0,5.0,2.0,6.0,Improve
8/28/2022 22:30:17,26.0,YouTube Music,6.0,Rock,104.0,3.0,2.0,0.0,0.0,No effect
8/28/2022 22:32:47,35.0,Spotify,4.0,Country,90.0,9.0,9.0,5.0,1.0,Improve
8/28/2022 22:38:36,33.0,Other streaming service,1.0,Rock,120.0,3.0,10.0,4.0,1.0,No effect
8/28/2022 22:39:24,30.0,Spotify,6.0,Folk,89.0,9.0,0.0,5.0,0.0,No effect
8/28/2022 22:39:58,31.0,Spotify,2.0,Metal,95.0,7.0,6.0,6.0,5.0,Improve
8/28/2022 22:49:17,27.0,Spotify,5.0,Folk,140.0,0.0,9.0,4.0,0.0,Improve
8/28/2022 22:51:01,53.0,I do not use a streaming service.,1.5,Pop,92.0,2.0,2.0,2.0,1.0,No effect
8/28/2022 22:51:30,23.0,Spotify,5.0,Metal,120.0,6.0,9.0,2.0,1.0,Improve
8/28/2022 22:53:43,25.0,Spotify,2.0,EDM,128.0,6.0,4.0,1.0,0.0,Improve
8/28/2022 22:58:10,16.0,Apple Music,4.0,K pop,140.0,8.0,9.0,4.0,0.0,Improve
8/28/2022 23:04:08,18.0,Spotify,2.0,Rock,,6.0,7.0,4.0,3.0,Improve
8/28/2022 23:08:27,29.0,Spotify,5.0,Classical,,7.0,2.0,2.0,0.0,Improve
8/28/2022 23:19:35,31.0,YouTube Music,6.0,EDM,136.0,8.0,6.0,5.0,6.0,No effect
8/28/2022 23:23:20,31.0,Spotify,1.0,Rock,132.0,3.0,10.0,0.0,0.0,Worsen
8/28/2022 23:23:41,38.0,Spotify,6.0,Pop,107.0,9.0,4.0,9.0,7.0,Improve
8/28/2022 23:23:50,17.0,Spotify,4.0,Classical,135.0,7.0,9.0,2.0,8.0,Worsen
8/28/2022 23:26:58,25.0,Apple Music,2.0,EDM,171.0,10.0,3.0,1.0,4.0,Improve
8/28/2022 23:34:19,20.0,Spotify,2.0,Metal,220.0,0.0,0.0,0.0,1.0,No effect
8/28/2022 23:34:37,15.0,Spotify,2.0,EDM,171.0,9.0,6.0,1.0,7.0,No effect
8/28/2022 23:40:54,16.0,Spotify,4.0,Lofi,85.0,7.0,1.0,3.0,5.0,Improve
8/28/2022 23:42:24,20.0,Spotify,2.0,EDM,174.0,9.0,7.0,5.0,7.0,Improve
